ID,County,Rural2020,Rural2020new,Rural2024,Rural2024new,CWPP2012,CWPP2014,CWPP2016,CWPP2018,CWPP2020,CWPP2022,population_primary_2012,population_general_2012,population_midterm_2014,population_primary_2016,population_general_2016,population_midterm_2018,population_primary_2020,population_general_2020,registration_primary_2012,registration_general_2012,registration_midterm_2014,registration_primary_2016,registration_general_2016,registration_midterm_2018,registration_primary_2020,registration_general_2020,registration_midterm_2022,turnout_primary_2012,turnout_general_2012,turnout_midterm_2014,turnout_primary_2016,turnout_general_2016,turnout_midterm_2018,turnout_primary_2020,turnout_general_2020,turnout_midterm_2022,TOrate_primary_2012,TOrate_general_2012,TOrate_midterm_2014,TOrate_primary_2016,TOrate_general_2016,TOrate_midterm_2018,TOrate_primary_2020,TOrate_general_2020,TOrate_midterm_2022,Rep2012,Dem2012,Win2012,Rep2016,Dem2016,Win2016,Rep2020,Dem2020,Win2020,growth_r_g_2012_2016,growth_r_g_2012_2020,growth_r_g_2016_2020,growth_r_p_2012_2016,growth_r_p_2012_2020,growth_r_p_2016_2020,growth_r_m_2014_2018,growth_r_m_2014_2022,growth_r_m_2018_2022,growth_t_g_2012_2016,growth_t_g_2012_2020,growth_t_g_2016_2020,growth_t_p_2012_2016,growth_t_p_2012_2020,growth_t_p_2016_2020,growth_t_m_2014_2018,growth_t_m_2014_2022,growth_t_m_2018_2022,TOrate_growth_2012_2020,TOrate_growth_2012_2016,TOrate_growth_2016_2020,Win2012new,Win2016new,Win2020new,Wing2016_2020,Percent_Urban,Percent_Rural,Percent_Hispanic,Percent_White,Percent_Black,Percent_Indian,Percent_Asian,Percent_Pacific,Percent_Multi,Percent_NotH_White,Percent_NotH_Black,Age17Under,Age65Older,Age85Older,Median_Age,Per_Capita_Income2022,Total_Personal_Income2022,Median_Household_Income2022,Percent_Poverty,Percent_Poverty_under18,Percent_Bachelor,People_Bachelor,Unemploy_Rate2019,Unemploy_Rate2020,Unemploy_Rate2021,Unemploy_Rate2022,Unemploy_Rate2023,OnSystem_Centerline,OffSystem_Centerline,ratio_Centerline,OnSystem_Lane,OffSystem_Lane,ratio_Lane,Consolidated,SpanishVR_primary_2012,SpanishVR_general_2012,SpanishVR_midterm_2014,SpanishVR_primary_2016,SpanishVR_general_2016,SpanishVR_midterm_2018,SpanishVR_primary_2020,SpanishVR_general_2020,SpanishVR_midterm_2022,spanpro_2012p,spanpro_2012g,spanpro_2014m,spanpro_2016p,spanpro_2016g,spanpro_2018m,spanpro_2020p,spanpro_2020g,spanpro_2022m
67,Duval,rural,1,Rural,1,0,0,0,0,0,0,11782,11782,11782,11782,11782,11782,11782,11782,8706,8742,8380,8287,8352,8333,8170,8329,8124,3059,4470,3398,3265,4277,4112,2480,5205,3936,0.3514,0.5113,0.4055,0.394,0.5121,0.4935,0.3035,0.6249,0.4845,980,3331,Democrat,1316,2783,Democrat,2443,2575,Democrat,-0.0446,-0.0472,-0.0028,-0.0481,-0.0616,-0.0141,-0.0056,-0.0305,-0.0251,-0.0432,0.1644,0.217,0.0673,-0.1893,-0.2404,0.2101,0.1583,-0.0428,0.1136,0.0008,0.1128,2,2,2,0,0,1,0.8784,0.9512,0.022,0.0118,0.0057,0.0015,0.0078,0.0949,0.0163,0.2567,0.1764,0.0202,35.9,47149,466212000,40539,0.27,0.387,0.078,499,0.045,0.122,0.08,0.045,0.044,311.69,475.36,0.6557,641.79,951.56,0.6745,0,7518,7554,7270,7151,7179,7162,6988,7097,6889,0.863542385,0.864104324,0.867541766,0.862917823,0.859554598,0.859474379,0.855324357,0.852083083,0.84798129
68,Eastland,rural,1,Rural,1,0,1,1,1,1,1,18583,18583,18583,18583,18583,18583,18583,18583,10066,10210,10867,11230,11680,11694,11702,12196,12278,1740,6670,3984,4223,7080,6211,4196,8293,6168,0.1729,0.6533,0.3666,0.376,0.6062,0.5311,0.3586,0.68,0.5024,5444,970,Republican,6011,776,Republican,7237,983,Republican,0.144,0.1945,0.0442,0.1156,0.1625,0.042,0.0761,0.1298,0.0499,0.0615,0.2433,0.1713,1.427,1.4115,-0.0064,0.559,0.5482,-0.0069,0.0267,-0.0471,0.0738,1,1,1,0,0,1,0.1799,0.9347,0.0243,0.0134,0.0087,0.0011,0.0178,0.7692,0.0205,0.2153,0.2217,0.0253,42,55905,1003151000,53351,0.149,0.2,0.229,2779,0.033,0.068,0.057,0.046,0.046,455.67,861.58,0.5289,1026.16,1723.16,0.5955,0,661,675,793,857,918,945,981,1063,1081,0.0656666,0.066111655,0.072973222,0.076313446,0.07859589,0.080810672,0.083831824,0.087159724,0.088043655
69,Ector,urban,0,Urban,0,0,0,1,1,1,1,137130,137130,137130,137130,137130,137130,137130,137130,63961,64554,68547,69872,73118,76066,77609,80796,83371,12117,33254,15037,18692,37284,30983,14568,44923,25623,0.1894,0.5151,0.2194,0.2675,0.5099,0.4073,0.1877,0.556,0.3073,24010,8118,Republican,25020,10249,Republican,32697,11367,Republican,0.1327,0.2516,0.105,0.0924,0.2134,0.1107,0.1097,0.2163,0.096,0.1212,0.3509,0.2049,0.5426,0.2023,-0.2206,1.0605,0.704,-0.173,0.0409,-0.0052,0.0461,1,1,1,0,0.9091,0.0909,0.6567,0.896,0.0532,0.0157,0.0145,0.003,0.0175,0.2724,0.0435,0.3058,0.1001,0.009,31.5,55448,8919825000,64868,0.162,0.207,0.166,16096,0.027,0.111,0.08,0.039,0.033,340.69,1075.5,0.3168,974.56,2306.19,0.4226,1,23592,24073,27019,28446,30180,32523,33928,35513,37779,0.368849768,0.3729126,0.394167506,0.407115869,0.412757461,0.427562906,0.437165793,0.439539086,0.453143179
70,Edwards,rural,1,Rural,1,0,0,0,0,0,0,2002,2002,2002,2002,2002,2002,2002,2002,1562,1548,1504,1463,1513,1445,1447,1496,1458,840,885,904,684,1103,769,761,1072,818,0.5378,0.5717,0.6011,0.4675,0.729,0.5322,0.5259,0.7166,0.561,642,232,Republican,746,303,Republican,893,168,Republican,-0.0226,-0.0336,-0.0112,-0.0634,-0.0736,-0.0109,-0.0392,-0.0306,0.009,0.2463,0.2113,-0.0281,-0.1857,-0.094,0.1126,-0.1493,-0.0951,0.0637,0.1449,0.1573,-0.0124,1,1,1,0,0,1,0.5331,0.9184,0.019,0.0352,0.0134,0,0.0141,0.4304,0.0084,0.2125,0.2986,0.0201,48.9,66179,94107000,50752,0.207,0.362,0.19,160,0.023,0.036,0.043,0.029,0.025,239.4,293.16,0.8166,499.31,586.32,0.8516,0,628,625,601,570,581,550,542,536,494,0.402048656,0.40374677,0.399601064,0.38961039,0.384005288,0.380622837,0.374568072,0.35828877,0.338820302
71,El Paso,urban,0,Urban,0,0,0,0,0,0,1,800647,800647,800647,800647,800647,800647,800647,800647,348313,354998,404679,405849,428221,456965,471698,488455,506962,61774,172709,80617,83597,215922,203617,88311,269007,166898,0.1774,0.4865,0.1992,0.206,0.5042,0.4456,0.1872,0.5507,0.3292,39574,13881,Republican,44941,16253,Republican,56717,27565,Republican,0.2063,0.3759,0.1407,0.1652,0.3542,0.1622,0.1292,0.2528,0.1094,0.2502,0.5576,0.2459,0.3533,0.4296,0.0564,1.5257,1.0703,-0.1803,0.0642,0.0177,0.0465,1,1,1,0,0.6931,0.3069,0.2833,0.7982,0.1587,0.0088,0.0107,0.0014,0.0221,0.5349,0.1515,0.2629,0.1311,0.0105,36.2,55479,11771560000,89314,0.09,0.121,0.25,133861,0.031,0.06,0.045,0.035,0.037,633.4,1747.02,0.3626,1626.64,3514.97,0.4628,0,244621,249222,284016,285486,298700,314543,323197,331955,343251,0.70230224,0.702037758,0.70183034,0.703429108,0.697537019,0.688330616,0.685177804,0.67960201,0.677074416
72,Ellis,urban,0,Urban,0,0,0,0,0,1,1,149610,149610,149610,149610,149610,149610,149610,149610,84872,86263,93162,97376,102208,108050,113110,120084,131185,15385,54330,32323,31246,64355,60850,32363,85932,68079,0.1813,0.6298,0.347,0.3209,0.6296,0.5632,0.2861,0.7156,0.519,57150,112952,Democrat,55512,147843,Democrat,84331,178126,Democrat,0.1848,0.3921,0.1749,0.1473,0.3327,0.1616,0.1598,0.4081,0.2141,0.1845,0.5817,0.3353,1.0309,1.1035,0.0357,0.8826,1.1062,0.1188,0.0858,-0.0002,0.086,2,2,2,0,0.9598,0.0402,0.8292,0.9116,0.044,0.0112,0.0146,0.0024,0.0163,0.1117,0.0339,0.2571,0.1345,0.014,33.8,44198,38397840000,53441,0.21,0.287,0.279,35105,0.038,0.083,0.062,0.043,0.044,510.26,3266.14,0.1562,1793.81,7066.86,0.2538,0,10055,10368,11945,12859,13795,15030,16306,17390,19606,0.118472523,0.12019058,0.128217514,0.132055127,0.134969865,0.139102267,0.144160552,0.144815296,0.149453062
73,Erath,rural,1,Rural,1,1,1,1,1,1,1,37890,37890,37890,37890,37890,37890,37890,37890,19971,19923,20454,20702,21549,22261,23016,23853,24864,4642,12688,7468,7952,14101,12644,8687,16930,13159,0.2324,0.6369,0.3651,0.3841,0.6544,0.568,0.3774,0.7098,0.5292,10329,1965,Republican,11210,2160,Republican,13684,2916,Republican,0.0816,0.1973,0.1069,0.0366,0.1525,0.1118,0.0883,0.2156,0.1169,0.1114,0.3343,0.2006,0.7131,0.8714,0.0924,0.6931,0.7621,0.0407,0.0729,0.0175,0.0554,1,1,1,0,0.4901,0.5099,0.2223,0.933,0.0219,0.0146,0.0123,0.001,0.0172,0.7284,0.0192,0.2064,0.1517,0.0152,32.6,50567,2219635000,60093,0.129,0.15,0.324,8159,0.032,0.057,0.045,0.035,0.035,391.13,957.84,0.4083,850.15,1920.16,0.4427,0,1428,1457,1603,1750,1889,2115,2288,2434,2617,0.07150368,0.073131556,0.078370979,0.084532895,0.08766068,0.095009209,0.099409107,0.102041672,0.105252574
74,Falls,rural,1,Rural,1,0,0,0,0,0,0,17866,17866,17866,17866,17866,17866,17866,17866,9370,9499,9857,9912,10140,10329,10111,10338,10297,2521,5434,3068,3197,5250,4687,2467,6135,4732,0.2691,0.5721,0.3113,0.3225,0.5178,0.4538,0.244,0.5934,0.4596,3356,2033,Republican,3441,1684,Republican,4177,1899,Republican,0.0675,0.0883,0.0195,0.0578,0.0791,0.0201,0.0479,0.0446,-0.0031,-0.0339,0.129,0.1686,0.2681,-0.0214,-0.2283,0.5277,0.5424,0.0096,0.0213,-0.0543,0.0756,1,1,1,0,0.318,0.682,0.2608,0.7266,0.232,0.0131,0.0065,0.0023,0.0194,0.4976,0.217,0.2141,0.1926,0.0238,39.6,42198,719440000,47534,0.214,0.276,0.135,1564,0.033,0.061,0.053,0.041,0.041,344.28,846.03,0.4069,751.98,1692.07,0.4444,0,813,832,909,956,1005,1051,1059,1103,1183,0.086766275,0.087588167,0.092218728,0.096448749,0.099112426,0.101752348,0.104737415,0.106693751,0.114887831
75,Fannin,rural,1,Rural,1,0,0,0,0,0,0,33915,33915,33915,33915,33915,33915,33915,33915,18733,18943,19885,19746,20564,20652,20908,22152,23417,3204,11136,6584,6581,12283,10847,6280,15117,11667,0.171,0.5879,0.3311,0.3333,0.5973,0.5252,0.3004,0.6824,0.4982,8161,2486,Republican,9548,2132,Republican,12171,2655,Republican,0.0856,0.1694,0.0772,0.0541,0.1161,0.0588,0.0386,0.1776,0.1339,0.103,0.3575,0.2307,1.054,0.96,-0.0457,0.6475,0.772,0.0756,0.0945,0.0094,0.0851,1,1,1,0,0.2187,0.7813,0.1362,0.8845,0.0668,0.0146,0.0083,0.001,0.0247,0.7611,0.0642,0.2118,0.1796,0.0178,40.7,47129,1749661000,60959,0.137,0.178,0.206,5202,0.028,0.047,0.041,0.035,0.034,489.89,1082.86,0.4524,999.61,2165.72,0.4616,0,575,598,682,691,748,783,824,897,1058,0.030694496,0.031568389,0.034297209,0.034994429,0.036374246,0.037914003,0.039410752,0.040492958,0.045180852
76,Fayette,rural,1,Urban,0,0,0,0,0,0,0,24554,24554,24554,24554,24554,24554,24554,24554,15410,15516,15866,15848,16273,16524,16801,17352,17834,4239,10582,7629,7273,11163,10535,6319,12962,10580,0.2751,0.682,0.4808,0.4589,0.686,0.6376,0.3761,0.747,0.5932,8106,2315,Republican,8743,2144,Republican,10171,2661,Republican,0.0488,0.1183,0.0663,0.0284,0.0903,0.0601,0.0415,0.124,0.0793,0.0549,0.2249,0.1612,0.7157,0.4907,-0.1312,0.3809,0.3868,0.0043,0.065,0.004,0.061,1,1,1,0,0.2054,0.7946,0.2245,0.9027,0.0615,0.0145,0.0065,0.0009,0.0138,0.7009,0.055,0.203,0.2711,0.0338,47.1,70239,1749853000,70476,0.108,0.154,0.241,4332,0.026,0.047,0.043,0.035,0.034,440.31,962.99,0.4572,1034.27,1925.98,0.537,0,1235,1262,1347,1365,1409,1505,1582,1687,1828,0.080142764,0.081335396,0.084898525,0.086130742,0.086585141,0.091079642,0.094161062,0.097222222,0.102500841
77,Fisher,rural,1,Rural,1,0,1,1,1,1,1,3974,3974,3974,3974,3974,3974,3974,3974,2731,2746,2773,2721,2768,2692,2583,2645,2684,469,1641,1245,993,1730,1494,798,1826,1412,0.1717,0.5976,0.449,0.3649,0.625,0.555,0.3089,0.6904,0.5261,1094,512,Republican,1265,403,Republican,1448,352,Republican,0.008,-0.0368,-0.0444,-0.0037,-0.0542,-0.0507,-0.0292,-0.0321,-0.003,0.0542,0.1127,0.0555,1.1173,0.7015,-0.1964,0.2,0.1341,-0.0549,0.0928,0.0274,0.0654,1,1,1,0,0,1,0.2993,0.9092,0.0447,0.0138,0.0044,0,0.0279,0.638,0.0375,0.2165,0.2461,0.0327,44.9,53908,195255000,57867,0.169,0.247,0.199,519,0.03,0.045,0.043,0.036,0.033,274.74,677.16,0.4057,557.76,1354.33,0.4118,0,551,554,555,545,548,524,504,518,530,0.201757598,0.201747997,0.200144248,0.20029401,0.197976879,0.194650817,0.195121951,0.19584121,0.197466468
78,Floyd,rural,1,Rural,1,1,1,1,1,1,1,6446,6446,6446,6446,6446,6446,6446,6446,4259,4270,4078,4049,4073,3935,3852,3844,3664,787,2127,1098,1441,2044,1882,1125,2040,1469,0.1848,0.4981,0.2692,0.3559,0.5018,0.4783,0.2921,0.5307,0.4009,1523,551,Republican,1474,435,Republican,1584,438,Republican,-0.0461,-0.0998,-0.0562,-0.0493,-0.0956,-0.0487,-0.0351,-0.1015,-0.0689,-0.039,-0.0409,-0.002,0.831,0.4295,-0.2193,0.714,0.3379,-0.2194,0.0326,0.0037,0.0289,1,1,1,0,0,1,0.5964,0.9156,0.0428,0.0155,0.0061,0.0006,0.0195,0.353,0.033,0.2558,0.1917,0.0193,38.7,45025,235705000,45784,0.213,0.318,0.16,559,0.044,0.062,0.057,0.042,0.043,323.88,1029,0.3148,701.84,2058.01,0.341,0,1808,1833,1759,1768,1810,1751,1716,1730,1655,0.424512796,0.429274005,0.431338892,0.436651025,0.444389885,0.44498094,0.445482866,0.450052029,0.45169214
79,Foard,rural,1,Rural,1,0,0,0,0,0,0,1336,1336,1336,1336,1336,1336,1336,1336,1065,1070,1070,935,948,908,864,883,824,142,495,331,264,524,447,374,558,548,0.1333,0.4626,0.3093,0.2824,0.5527,0.4923,0.4329,0.6319,0.665,348,140,Republican,383,113,Republican,445,99,Republican,-0.114,-0.1748,-0.0686,-0.1221,-0.1887,-0.0759,-0.1514,-0.2299,-0.0925,0.0586,0.1273,0.0649,0.8592,1.6338,0.4167,0.3505,0.6556,0.226,0.1693,0.0901,0.0792,1,1,1,0,0,1,0.211,0.8997,0.0558,0.0076,0.0104,0,0.0265,0.702,0.0549,0.2085,0.2539,0.0399,47.2,69100,73039000,47657,0.17,0.276,0.16,112,0.03,0.04,0.034,0.032,0.033,148.81,346.87,0.429,297.91,693.74,0.4294,0,127,128,137,119,120,107,95,97,94,0.119248826,0.119626168,0.128037383,0.127272727,0.126582278,0.11784141,0.109953704,0.109852775,0.11407767
80,Fort Bend,urban,0,Urban,0,1,1,1,1,1,1,585375,585375,585375,585375,585375,585375,585375,585375,319227,327712,364178,384764,403951,430576,457490,485044,522354,46682,219602,132543,107794,262357,255553,126908,359881,251629,0.1462,0.6701,0.364,0.2802,0.6495,0.5935,0.2774,0.742,0.4817,116126,101144,Republican,117291,134686,Democrat,157718,195552,Democrat,0.2326,0.4801,0.2007,0.2053,0.4331,0.189,0.1823,0.4343,0.2132,0.1947,0.6388,0.3717,1.3091,1.7186,0.1773,0.9281,0.8985,-0.0154,0.0719,-0.0206,0.0925,1,2,2,0,0.952,0.048,0.2553,0.525,0.2215,0.0065,0.2214,0.0011,0.0245,0.2927,0.2115,0.2638,0.1297,0.0096,37.7,70390,62587149000,105583,0.079,0.095,0.486,260622,0.035,0.076,0.059,0.04,0.04,458.42,3376.78,0.1358,1415.83,7210.56,0.1964,1,44984,46380,52200,55184,58063,62745,67489,71440,77581,0.140915399,0.141526706,0.1433365,0.143422981,0.143737731,0.145723403,0.147520164,0.147285607,0.148521884
81,Franklin,rural,1,Rural,1,0,0,0,0,0,0,10605,10605,10605,10605,10605,10605,10605,10605,6471,6516,6651,6635,6801,6782,6790,7024,7225,2058,4258,2594,2784,4381,3988,2078,5030,3931,0.318,0.6535,0.39,0.4196,0.6442,0.588,0.306,0.7161,0.5441,3446,751,Republican,3585,665,Republican,4161,804,Republican,0.0437,0.078,0.0328,0.0253,0.0493,0.0234,0.0197,0.0863,0.0653,0.0289,0.1813,0.1481,0.3528,0.0097,-0.2536,0.5374,0.5154,-0.0143,0.0626,-0.0093,0.0719,1,1,1,0,0,1,0.1578,0.9039,0.0485,0.013,0.0115,0.0011,0.0219,0.7618,0.045,0.2167,0.2311,0.023,43.9,57593,611522000,56623,0.137,0.199,0.307,2251,0.036,0.053,0.044,0.033,0.038,157.16,340.12,0.4621,343.89,685.32,0.5018,0,215,225,277,297,313,323,340,374,403,0.033225158,0.034530387,0.041647873,0.044762622,0.046022644,0.047626069,0.050073638,0.053246014,0.055778547
82,Freestone,rural,1,Rural,1,0,0,0,0,0,0,19816,19816,19816,19816,19816,19816,19816,19816,10975,11121,11431,11704,11997,11905,12029,12462,12741,3050,7660,4506,5527,7735,6662,4203,8756,6693,0.2779,0.6888,0.3942,0.4722,0.6447,0.5596,0.3494,0.7026,0.5253,5646,1850,Republican,6026,1471,Republican,6991,1635,Republican,0.0788,0.1206,0.0388,0.0664,0.096,0.0278,0.0415,0.1146,0.0702,0.0098,0.1431,0.132,0.8121,0.378,-0.2396,0.4785,0.4854,0.0047,0.0138,-0.0441,0.0579,1,1,1,0,0,1,0.175,0.8033,0.1475,0.0155,0.0102,0.0006,0.023,0.6584,0.1395,0.226,0.2089,0.0233,42.2,44999,897739000,56372,0.157,0.191,0.174,2411,0.048,0.084,0.072,0.054,0.051,376.5,739.82,0.5089,823.45,1479.64,0.5565,0,384,384,445,485,517,554,582,625,709,0.03498861,0.034529269,0.038929228,0.041438824,0.043094107,0.046535069,0.048383074,0.050152463,0.055647123
83,Frio,rural,1,Rural,1,0,0,0,0,0,0,17217,17217,17217,17217,17217,17217,17217,17217,10003,10171,9973,10000,9127,8554,8662,8955,9106,2134,4011,1855,3233,4469,3681,3294,5277,3881,0.2133,0.3944,0.186,0.3233,0.4896,0.4303,0.3803,0.5893,0.4262,1559,2376,Democrat,1856,2444,Democrat,2823,2422,Republican,-0.1026,-0.1196,-0.0188,-0.0003,-0.1341,-0.1338,-0.1423,-0.0869,0.0645,0.1142,0.3156,0.1808,0.515,0.5436,0.0189,0.9844,1.0922,0.0543,0.1949,0.0952,0.0997,2,2,1,1,0.493,0.507,0.7998,0.8772,0.0415,0.0129,0.0259,0.0016,0.0409,0.1287,0.0271,0.2581,0.1224,0.0132,31.5,37455,667254000,46769,0.246,0.325,0.085,998,0.026,0.057,0.048,0.034,0.033,339.14,451.22,0.7516,760.88,902.44,0.8431,0,7585,7709,7490,7489,6755,6243,6284,6487,6571,0.758272518,0.757939239,0.751027775,0.7489,0.740111756,0.729833996,0.725467559,0.724399777,0.721612124
84,Gaines,rural,1,Rural,1,0,1,1,1,1,1,17526,17526,17526,17526,17526,17526,17526,17526,7382,7471,8073,8381,8617,8863,9239,9672,9897,1818,4143,2577,2660,4715,3852,1807,5996,4122,0.2463,0.5545,0.3192,0.3174,0.5472,0.4346,0.1956,0.6199,0.4165,3484,535,Republican,3907,597,Republican,5355,576,Republican,0.1534,0.2946,0.1224,0.1353,0.2516,0.1024,0.0979,0.2259,0.1167,0.1381,0.4473,0.2717,0.4631,-0.0061,-0.3207,0.4948,0.5995,0.0701,0.0654,-0.0073,0.0727,1,1,1,0,0.3273,0.6727,0.4343,0.9461,0.0236,0.0113,0.0063,0.0003,0.0124,0.5333,0.0166,0.3604,0.0924,0.0103,28,46925,1040847000,62465,0.147,0.193,0.104,1213,0.024,0.056,0.046,0.03,0.029,271.73,1132.27,0.24,662.28,2264.53,0.2925,0,2299,2356,2589,2707,2787,2912,3000,3087,3122,0.311433216,0.315352697,0.320698625,0.322992483,0.323430428,0.328556922,0.324710467,0.319168734,0.315449126
85,Galveston,urban,0,Urban,0,0,0,0,1,1,1,291309,291309,291309,291309,291309,291309,291309,291309,178664,181309,192382,199310,208387,213061,217842,228382,235169,28595,110184,65503,53821,125342,114372,50981,155752,110760,0.16,0.6077,0.3405,0.27,0.6015,0.5368,0.234,0.682,0.471,69059,39511,Republican,73757,43658,Republican,93911,58842,Republican,0.1493,0.2596,0.096,0.1156,0.2193,0.093,0.1075,0.2224,0.1038,0.1376,0.4136,0.2426,0.8822,0.7829,-0.0528,0.7461,0.6909,-0.0316,0.0743,-0.0062,0.0805,1,1,1,0,0.9594,0.0406,0.2684,0.7988,0.1331,0.0081,0.0365,0.0011,0.0224,0.5502,0.1255,0.2341,0.1624,0.0139,39,61246,21872079000,75947,0.135,0.15,0.338,80042,0.041,0.088,0.066,0.044,0.043,328.88,1907.63,0.1724,1075.23,3913.84,0.2747,0,23545,24011,26052,27128,28419,29713,30907,32612,34972,0.131783683,0.132431374,0.135418074,0.136109578,0.13637607,0.139457714,0.141878058,0.142795842,0.148710077
86,Garza,rural,1,Rural,1,0,0,0,0,0,0,6461,6461,6461,6461,6461,6461,6461,6461,2744,2770,2736,2665,2721,2697,2596,2678,2660,855,1560,841,1114,1484,1289,686,1653,1208,0.3116,0.5632,0.3074,0.418,0.5454,0.4779,0.2643,0.6173,0.4541,1263,279,Republican,1225,230,Republican,1413,231,Republican,-0.0177,-0.0332,-0.0158,-0.0288,-0.0539,-0.0259,-0.0143,-0.0278,-0.0137,-0.0487,0.0596,0.1139,0.3029,-0.1977,-0.3842,0.5327,0.4364,-0.0628,0.0541,-0.0178,0.0719,1,1,1,0,0,1,0.5538,0.8833,0.081,0.012,0.008,0.0016,0.0142,0.3568,0.0693,0.2037,0.1379,0.0155,37.3,32823,205540000,50255,0.266,0.271,0.133,552,0.026,0.068,0.049,0.042,0.034,183.35,278.31,0.6588,457.05,556.62,0.8211,0,726,736,750,737,748,768,749,764,773,0.264577259,0.265703971,0.274122807,0.276547842,0.274898934,0.284760845,0.288520801,0.285287528,0.290601504
87,Gillespie,rural,1,Rural,1,0,0,0,0,0,0,24837,24837,24837,24837,24837,24837,24837,24837,17605,17686,18149,18420,18959,19158,19520,20340,21103,5045,12551,8876,8954,13375,12563,7486,15852,13459,0.2866,0.7097,0.4891,0.4861,0.7055,0.6558,0.3835,0.7794,0.6378,10306,2055,Republican,10446,2288,Republican,12514,3176,Republican,0.072,0.1501,0.0728,0.0463,0.1088,0.0597,0.0556,0.1628,0.1015,0.0657,0.263,0.1852,0.7748,0.4838,-0.1639,0.4154,0.5163,0.0713,0.0697,-0.0042,0.0739,1,1,1,0,0.4356,0.5644,0.2498,0.9595,0.0083,0.0127,0.0058,0.0012,0.0125,0.7257,0.005,0.1919,0.3084,0.0383,50.5,84525,2322504000,77013,0.096,0.135,0.352,6948,0.024,0.048,0.034,0.027,0.026,272.33,640.39,0.4253,684.19,1293.11,0.5291,0,1561,1573,1675,1740,1797,1876,1950,2045,2169,0.088667992,0.088940405,0.092291586,0.094462541,0.09478348,0.097922539,0.099897541,0.100540806,0.102781595
88,Glasscock,rural,1,Rural,1,0,0,0,0,0,0,1226,1226,1226,1226,1226,1226,1226,1226,740,745,757,753,769,778,790,798,814,179,579,400,411,606,555,374,661,578,0.2419,0.7772,0.5284,0.5458,0.788,0.7134,0.4734,0.8283,0.7101,526,44,Republican,553,34,Republican,611,39,Republican,0.0322,0.0711,0.0377,0.0176,0.0676,0.0491,0.0277,0.0753,0.0463,0.0466,0.1416,0.0908,1.2961,1.0894,-0.09,0.3875,0.445,0.0414,0.0511,0.0108,0.0403,1,1,1,0,0,1,0.3823,0.951,0.0266,0.0077,0.0026,0.0017,0.0103,0.5782,0.0249,0.2524,0.1525,0.014,36.5,122894,143049000,96533,0.091,0.123,0.378,279,0.021,0.036,0.031,0.027,0.024,136.83,215.18,0.6359,356.85,430.36,0.8292,0,105,110,103,105,111,119,128,140,155,0.141891892,0.147651007,0.136063408,0.139442231,0.144343303,0.152956298,0.162025316,0.175438596,0.19041769
89,Goliad,rural,1,Rural,1,0,0,0,0,0,0,7210,7210,7210,7210,7210,7210,7210,7210,5342,5358,5525,5438,5577,5541,5549,5744,5762,1647,3499,2788,2243,3778,3081,1844,4014,3434,0.3083,0.653,0.5046,0.4125,0.6774,0.556,0.3323,0.6988,0.596,2294,1127,Republican,2620,973,Republican,3085,877,Republican,0.0409,0.072,0.0299,0.018,0.0387,0.0204,0.0029,0.0429,0.0399,0.0797,0.1472,0.0625,0.3619,0.1196,-0.1779,0.1051,0.2317,0.1146,0.0458,0.0244,0.0214,1,1,1,0,0,1,0.3544,0.9088,0.0541,0.0129,0.007,0.0003,0.0168,0.5801,0.0408,0.196,0.2602,0.0288,46.5,57304,408632000,62841,0.145,0.214,0.178,900,0.034,0.078,0.065,0.045,0.037,250.4,337.16,0.7427,535.29,674.33,0.7938,0,1577,1586,1636,1559,1609,1552,1530,1549,1508,0.295207787,0.296005972,0.296108597,0.286686282,0.288506365,0.280093846,0.275725356,0.269672702,0.261714682
90,Gonzales,rural,1,Rural,1,0,0,0,0,0,0,19807,19807,19807,19807,19807,19807,19807,19807,12261,12283,12105,11976,12270,12130,12302,12583,12686,1656,6056,3713,3861,6349,5630,4080,7697,5605,0.1351,0.493,0.3067,0.3224,0.5174,0.4641,0.3317,0.6117,0.4418,4216,1777,Republican,4587,1571,Republican,5627,1948,Republican,-0.0011,0.0244,0.0255,-0.0232,0.0033,0.0272,0.0021,0.048,0.0458,0.0484,0.271,0.2123,1.3315,1.4638,0.0567,0.5163,0.5096,-0.0044,0.1187,0.0244,0.0943,1,1,1,0,0.3538,0.6462,0.5281,0.8861,0.0714,0.0186,0.0067,0.0022,0.015,0.3976,0.0549,0.2639,0.181,0.0201,37.8,66727,1323321000,57523,0.154,0.229,0.131,1669,0.027,0.054,0.043,0.033,0.034,409.62,781.92,0.5239,893.71,1563.83,0.5715,0,3811,3826,3768,3730,3849,3838,3938,4044,4107,0.310822935,0.311487422,0.311276332,0.311456246,0.313691932,0.316405606,0.320110551,0.321385997,0.323742708
